year,city,total_buildings,total_dwellings,build_flow,dwell_flow,value,destruction_share,east_germany,mean_income,median_income,germany_median,distance_internal,dist_increased_5y,dist_to_germany
1995,Lübeck,38111,107459,308,1260,124.71,0.1959,0,NA,NA,NA,NA,NA,NA
1996,Lübeck,38419,108719,318,1045,120.58,0.1959,0,NA,NA,NA,NA,NA,NA
1997,Lübeck,38737,109764,265,1117,113.23,0.1959,0,NA,NA,NA,NA,NA,NA
1998,Lübeck,39002,110881,235,1348,112.91,0.1959,0,NA,NA,NA,NA,NA,NA
1999,Lübeck,39237,112229,362,590,104.51,0.1959,0,NA,NA,NA,NA,NA,NA
2000,Lübeck,39599,112819,114,250,100,0.1959,0,22300,18900,15339,1.17989417989418,NA,1.2321533346371991
2001,Lübeck,39713,113069,138,323,93.46,0.1959,0,22300,18900,19900,1.17989417989418,NA,0.949748743718593
2002,Lübeck,39851,113392,162,360,94.59,0.1959,0,22275,18800,19966.666666666668,1.184840425531915,NA,0.9415692821368948
2003,Lübeck,40013,113752,315,638,85.98,0.1959,0,22250,18700,20033.333333333332,1.1898395721925137,NA,0.9334442595673876
2004,Lübeck,40328,114390,272,514,77.74,0.1959,0,22225,18600,20100,1.1948924731182795,TRUE,0.9253731343283582
2005,Lübeck,40600,114904,294,408,78.18,0.1959,0,22200,18500,21000,1.2,TRUE,0.8809523809523809
2006,Lübeck,40894,115312,373,482,80.6,0.1959,0,22200,18400,21000,1.2065217391304348,TRUE,0.8761904761904762
2007,Lübeck,41267,115794,237,336,76.62,0.1959,0,22300,18400,21400,1.2119565217391304,TRUE,0.8598130841121495
2008,Lübeck,41504,116130,219,319,71.63,0.1959,0,22500,18400,21900,1.2228260869565215,TRUE,0.8401826484018264
2009,Lübeck,41723,116449,196,618,75.08,0.1959,0,22600,18200,22200,1.2417582417582418,TRUE,0.8198198198198198
2010,Lübeck,41919,117067,196,409,77.9,0.1959,0,23800,18700,22700,1.2727272727272727,TRUE,0.8237885462555066
2011,Lübeck,42115,117476,177,592,82.73,0.1959,0,25200,19700,23100,1.2791878172588833,TRUE,0.8528138528138528
2012,Lübeck,42292,118068,196,462,86.08,0.1959,0,26600,20400,23514,1.303921568627451,TRUE,0.8675682572084715
2013,Lübeck,42488,118530,48,160,93.2,0.1959,0,22572,22032,23514,1.0245098039215683,FALSE,0.9369737177851492
2014,Lübeck,42536,118690,284,468,95.06,0.1959,0,28140,22332,23514,1.260075228371843,FALSE,0.9497320745088031
2015,Lübeck,42820,119158,45,93,95.62,0.1959,0,28464,22476,23514,1.2664175120128136,FALSE,0.9558560857361572
2016,Lübeck,42865,119251,256,840,109.06,0.1959,0,28188,22152,23514,1.272481040086674,FALSE,0.9420770604746108
2017,Lübeck,43121,120091,130,371,112.95,0.1959,0,28296,22332,23514,1.2670607200429875,TRUE,0.9497320745088031
2018,Lübeck,43251,120462,97,421,123.18,0.1959,0,30084,23724,23514,1.2680829539706626,TRUE,1.008930849706558
2019,Lübeck,43348,120883,137,810,131.53,0.1959,0,31332,25272,23514,1.2397910731244064,FALSE,1.0747639704006124
2020,Lübeck,43485,121693,264,910,146.54,0.1959,0,NA,NA,NA,NA,NA,NA
2021,Lübeck,43749,122603,260,886,168.67,0.1959,0,NA,NA,NA,NA,NA,NA
2022,Lübeck,44009,123489,185,833,170.51,0.1959,0,NA,NA,NA,NA,NA,NA
2023,Lübeck,44194,124322,183,563,150.44,0.1959,0,NA,NA,NA,NA,NA,NA
2024,Lübeck,44377,124885,117,664,143.86,0.1959,0,NA,NA,NA,NA,NA,NA
1995,München,121768,674607,1754,7816,111.45,0.33,0,NA,NA,NA,NA,NA,NA
1996,München,123522,682423,1723,8768,105.66,0.33,0,NA,NA,NA,NA,NA,NA
1997,München,125245,691191,1353,5468,102.01,0.33,0,NA,NA,NA,NA,NA,NA
1998,München,126598,696659,1729,7554,100.21,0.33,0,NA,NA,NA,NA,NA,NA
1999,München,128327,704213,1749,7054,100.83,0.33,0,NA,NA,NA,NA,NA,NA
2000,München,130076,711267,2222,8542,100,0.33,0,27000,21700,15339,1.2442396313364057,NA,1.4146945693982658
2001,München,132298,719809,1722,5682,101.65,0.33,0,27000,21700,19900,1.2442396313364057,NA,1.0904522613065326
2002,München,134020,725491,2071,6097,102.81,0.33,0,27333.333333333332,21700,19966.666666666668,1.259600614439324,NA,1.086811352253756
2003,München,136091,731588,1572,5167,100.38,0.33,0,27666.666666666668,21700,20033.333333333332,1.2749615975422428,NA,1.0831946755407655
2004,München,137663,736755,2368,8222,97.06,0.33,0,28000,21700,20100,1.2903225806451613,TRUE,1.079601990049751
2005,München,140031,744977,1805,6476,94.95,0.33,0,29400,22900,21000,1.2838427947598254,TRUE,1.0904761904761904
2006,München,141836,751453,4082,16285,93.25,0.33,0,29700,22900,21000,1.296943231441048,TRUE,1.0904761904761904
2007,München,145918,767738,1857,6044,91.85,0.33,0,30400,23600,21400,1.2881355932203389,TRUE,1.102803738317757
2008,München,147775,773782,1635,5925,91.37,0.33,0,31300,24200,21900,1.293388429752066,TRUE,1.1050228310502284
2009,München,149410,779707,1317,5460,95.13,0.33,0,31900,24500,22200,1.302040816326531,TRUE,1.1036036036036037
2010,München,150727,785167,1242,4759,101.36,0.33,0,32800,25100,22700,1.3067729083665338,TRUE,1.105726872246696
2011,München,151969,789926,2093,7304,111.79,0.33,0,33400,25400,23100,1.31496062992126,TRUE,1.0995670995670996
2012,München,154062,797230,1537,5487,123.99,0.33,0,34100,26500,23514,1.2867924528301886,FALSE,1.1269881772561028
2013,München,155599,802717,2098,8225,138.74,0.33,0,28068,27648,23514,1.0151909722222223,FALSE,1.175810155651952
2014,München,157697,810942,1825,7585,149.75,0.33,0,36516,28488,23514,1.2818028643639428,FALSE,1.2115335544781831
2015,München,159522,818527,1734,7311,164.21,0.33,0,37668,28992,23514,1.2992549668874172,FALSE,1.232967593773922
2016,München,161256,825838,1636,7893,183.21,0.33,0,38736,29772,23514,1.3010882708585247,TRUE,1.2661393212554224
2017,München,162892,833731,2233,8779,200.68,0.33,0,40452,31056,23514,1.302550231839258,TRUE,1.3207450880326614
2018,München,165125,842510,1959,9583,215.66,0.33,0,42216,32436,23514,1.3015168331483538,TRUE,1.37943352896147
2019,München,167084,852093,1500,8329,226.99,0.33,0,43452,33972,23514,1.2790533380430944,FALSE,1.444756315386578
2020,München,168584,860422,1684,8755,244.22,0.33,0,NA,NA,NA,NA,NA,NA
2021,München,170268,869177,1579,8308,262.72,0.33,0,NA,NA,NA,NA,NA,NA
2022,München,171847,877485,1443,8204,255.46,0.33,0,NA,NA,NA,NA,NA,NA
2023,München,173290,885689,1811,10743,208.15,0.33,0,NA,NA,NA,NA,NA,NA
2024,München,175101,896432,1358,7316,200.37,0.33,0,NA,NA,NA,NA,NA,NA
1995,Münster,42893,124850,7972,17951,105.66,0.3931,0,NA,NA,NA,NA,NA,NA
1996,Münster,50865,142801,6560,14129,104.48,0.3931,0,NA,NA,NA,NA,NA,NA
1997,Münster,57425,156930,7525,15426,102.81,0.3931,0,NA,NA,NA,NA,NA,NA
1998,Münster,64950,172356,6846,13423,104.6,0.3931,0,NA,NA,NA,NA,NA,NA
1999,Münster,71796,185779,8634,16120,103.36,0.3931,0,NA,NA,NA,NA,NA,NA
2000,Münster,80430,201899,8560,14152,100,0.3931,0,24400,20600,15339,1.1844660194174756,NA,1.3429819414564184
2001,Münster,88990,216051,7215,12739,97.29,0.3931,0,24400,20600,19900,1.1844660194174756,NA,1.035175879396985
2002,Münster,96205,228790,5707,8880,92.37,0.3931,0,24950,20600,19966.666666666668,1.2111650485436891,NA,1.031719532554257
2003,Münster,101912,237670,6211,9243,92.76,0.3931,0,25500,20600,20033.333333333332,1.2378640776699028,NA,1.0282861896838602
2004,Münster,108123,246913,6931,9777,89.84,0.3931,0,26050,20600,20100,1.2645631067961165,TRUE,1.0248756218905473
2005,Münster,115054,256690,6011,8572,87.49,0.3931,0,26600,20600,21000,1.2912621359223302,TRUE,0.9809523809523808
2006,Münster,121065,265262,5972,8550,84.41,0.3931,0,27100,20900,21000,1.2966507177033493,TRUE,0.9952380952380953
2007,Münster,127037,273812,5507,8524,82.01,0.3931,0,27500,21300,21400,1.2910798122065728,TRUE,0.9953271028037384
2008,Münster,132544,282336,3748,6481,79.48,0.3931,0,28000,21800,21900,1.2844036697247707,TRUE,0.9954337899543378
2009,Münster,136292,288817,3340,5565,83.3,0.3931,0,28700,22400,22200,1.28125,FALSE,1.009009009009009
2010,Münster,139632,294382,3863,7184,86.02,0.3931,0,29800,22900,22700,1.3013100436681222,TRUE,1.0088105726872247
2011,Münster,143495,301566,4158,7106,91.56,0.3931,0,29500,22800,23100,1.293859649122807,TRUE,0.987012987012987
2012,Münster,147653,308672,4542,8947,99.42,0.3931,0,29700,22400,23514,1.3258928571428572,TRUE,0.9526239686994982
2013,Münster,152195,317619,4265,8923,101.91,0.3931,0,23700,22440,23514,1.0561497326203209,FALSE,0.9543250829293188
2014,Münster,156460,326542,4109,8853,112.41,0.3931,0,29040,22932,23514,1.2663526949241235,FALSE,0.9752487879561113
2015,Münster,160569,335395,3954,8186,118.28,0.3931,0,31104,23820,23514,1.305793450881612,TRUE,1.013013523858127
2016,Münster,164523,343581,3924,9200,122.32,0.3931,0,32712,25344,23514,1.290719696969697,FALSE,1.0778259760142894
2017,Münster,168447,352781,4047,9916,131.18,0.3931,0,33012,25068,23514,1.3168980373384394,TRUE,1.0660882878285276
2018,Münster,172494,362697,3844,8741,136.76,0.3931,0,34824,26832,23514,1.2978533094812164,TRUE,1.141107425363613
2019,Münster,176338,371438,3831,9294,153.22,0.3931,0,36360,27096,23514,1.341895482728078,TRUE,1.1523347792804286
2020,Münster,180169,380732,4105,10085,168.51,0.3931,0,NA,NA,NA,NA,NA,NA
2021,Münster,184274,390817,3492,9248,175.02,0.3931,0,NA,NA,NA,NA,NA,NA
2022,Münster,187766,400065,3377,10018,185.1,0.3931,0,NA,NA,NA,NA,NA,NA
2023,Münster,191143,410083,3015,10542,158.32,0.3931,0,NA,NA,NA,NA,NA,NA
2024,Münster,194158,420625,2268,7292,160.1,0.3931,0,NA,NA,NA,NA,NA,NA
1995,Potsdam,11581,64963,1298,3703,142.8,0.2,1,NA,NA,NA,NA,NA,NA
1996,Potsdam,12879,68666,1879,6099,128.57,0.2,1,NA,NA,NA,NA,NA,NA
1997,Potsdam,14758,74765,2237,6065,120.53,0.2,1,NA,NA,NA,NA,NA,NA
1998,Potsdam,16995,80830,2180,4314,119.26,0.2,1,NA,NA,NA,NA,NA,NA
1999,Potsdam,19175,85144,2185,3306,101.27,0.2,1,NA,NA,NA,NA,NA,NA
2000,Potsdam,21360,88450,1842,3099,100,0.2,1,22200,19300,15339,1.150259067357513,NA,1.2582306538887802
2001,Potsdam,23202,91549,954,1657,99.98,0.2,1,22200,19300,19900,1.150259067357513,NA,0.9698492462311558
2002,Potsdam,24156,93206,1942,2622,98.04,0.2,1,22033.333333333332,19033.333333333332,19966.666666666668,1.157618213660245,NA,0.9532554257095156
2003,Potsdam,26098,95828,1025,1513,108.09,0.2,1,21866.666666666668,18766.666666666668,20033.333333333332,1.1651865008880995,NA,0.9367720465890184
2004,Potsdam,27123,97341,1301,1661,95.87,0.2,1,21700,18500,20100,1.172972972972973,TRUE,0.9203980099502488
2005,Potsdam,28424,99002,1314,1678,101.83,0.2,1,22000,17700,21000,1.2429378531073447,TRUE,0.8428571428571429
2006,Potsdam,29738,100680,1132,1274,99.6,0.2,1,22000,17700,21000,1.2429378531073447,TRUE,0.8428571428571429
2007,Potsdam,30870,101954,1080,1248,115.84,0.2,1,22700,18400,21400,1.233695652173913,TRUE,0.8598130841121495
2008,Potsdam,31950,103202,1016,1337,113.47,0.2,1,23700,19100,21900,1.2408376963350785,TRUE,0.8721461187214612
2009,Potsdam,32966,104539,963,1495,114.72,0.2,1,24300,19500,22200,1.2461538461538462,TRUE,0.8783783783783784
2010,Potsdam,33929,106034,928,1678,118.36,0.2,1,25900,20400,22700,1.2696078431372548,TRUE,0.8986784140969163
2011,Potsdam,34857,107712,889,1232,121.09,0.2,1,27200,21500,23100,1.2651162790697674,TRUE,0.9307359307359307
2012,Potsdam,35746,108944,1080,1562,132.99,0.2,1,27300,21100,23514,1.2938388625592416,TRUE,0.8973377562303309
2013,Potsdam,36826,110506,956,1593,143.82,0.2,1,22608,21648,23514,1.044345898004435,FALSE,0.9206430211788722
2014,Potsdam,37782,112099,967,1834,144.97,0.2,1,27540,22092,23514,1.2466051059206953,FALSE,0.93952538912988
2015,Potsdam,38749,113933,1075,2090,161.31,0.2,1,28536,22716,23514,1.2562070787110406,FALSE,0.9660627711150804
2016,Potsdam,39824,116023,1063,2562,162.86,0.2,1,30696,24768,23514,1.2393410852713178,FALSE,1.0533299311048736
2017,Potsdam,40887,118585,971,2399,173.65,0.2,1,32112,25536,23514,1.2575187969924813,TRUE,1.085991324317428
2018,Potsdam,41858,120984,889,2979,197.7,0.2,1,33192,25380,23514,1.3078014184397162,TRUE,1.079356978821128
2019,Potsdam,42747,123963,932,2493,222.35,0.2,1,31656,24264,23514,1.304648862512364,TRUE,1.031895891809135
2020,Potsdam,43679,126456,771,1529,239.35,0.2,1,NA,NA,NA,NA,NA,NA
2021,Potsdam,44450,127985,728,2721,278.39,0.2,1,NA,NA,NA,NA,NA,NA
2022,Potsdam,45178,130706,606,1253,296.68,0.2,1,NA,NA,NA,NA,NA,NA
2023,Potsdam,45784,131959,763,1917,264.45,0.2,1,NA,NA,NA,NA,NA,NA
2024,Potsdam,46547,133876,583,1839,261.24,0.2,1,NA,NA,NA,NA,NA,NA
1995,Stuttgart,749134,1658137,9045,31539,121.72,0.2979,0,NA,NA,NA,NA,NA,NA
1996,Stuttgart,758179,1689676,8220,26831,113.14,0.2979,0,NA,NA,NA,NA,NA,NA
1997,Stuttgart,766399,1716507,8706,23294,108.65,0.2979,0,NA,NA,NA,NA,NA,NA
1998,Stuttgart,775105,1739801,9930,22662,105.62,0.2979,0,NA,NA,NA,NA,NA,NA
1999,Stuttgart,785035,1762463,10272,21412,102.47,0.2979,0,NA,NA,NA,NA,NA,NA
2000,Stuttgart,795307,1783875,10473,20072,100,0.2979,0,26300,21700,15339,1.2119815668202765,NA,1.4146945693982658
2001,Stuttgart,805780,1803947,8240,15381,98.43,0.2979,0,26300,21700,19900,1.2119815668202765,NA,1.0904522613065326
2002,Stuttgart,814020,1819328,7837,14281,97.39,0.2979,0,26800,21800,19966.666666666668,1.2293577981651376,NA,1.0918196994991651
2003,Stuttgart,821857,1833609,7294,13075,95.98,0.2979,0,27300,21900,20033.333333333332,1.2465753424657535,NA,1.0931780366056574
2004,Stuttgart,829151,1846684,8067,14126,95.16,0.2979,0,27800,22000,20100,1.2636363636363637,TRUE,1.0945273631840795
2005,Stuttgart,837218,1860810,7159,13329,94.61,0.2979,0,28000,22300,21000,1.2556053811659194,TRUE,1.061904761904762
2006,Stuttgart,844377,1874139,7705,14232,95.39,0.2979,0,28000,22100,21000,1.2669683257918551,TRUE,1.0523809523809524
2007,Stuttgart,852082,1888371,6592,12538,93.81,0.2979,0,28500,22700,21400,1.2555066079295154,TRUE,1.060747663551402
2008,Stuttgart,858674,1900909,5143,10864,90.35,0.2979,0,29300,23300,21900,1.257510729613734,FALSE,1.0639269406392695
2009,Stuttgart,863817,1911773,4629,10268,93.58,0.2979,0,29800,23700,22200,1.2573839662447257,TRUE,1.0675675675675675
2010,Stuttgart,868446,1922041,4734,9843,94.08,0.2979,0,31000,24400,22700,1.2704918032786885,TRUE,1.0748898678414096
2011,Stuttgart,873180,1931884,5298,11036,96.66,0.2979,0,31200,24600,23100,1.2682926829268293,TRUE,1.0649350649350648
2012,Stuttgart,878478,1942920,5655,12850,101.87,0.2979,0,32300,25600,23514,1.26171875,TRUE,1.0887131070851408
2013,Stuttgart,884133,1955770,5269,12122,108.5,0.2979,0,27036,26220,23514,1.031121281464531,FALSE,1.115080377647359
2014,Stuttgart,889402,1967892,5411,13505,116.88,0.2979,0,33648,27000,23514,1.246222222222222,FALSE,1.1482521051288594
2015,Stuttgart,894813,1981397,5388,14449,129.9,0.2979,0,34644,27468,23514,1.2612494539100043,FALSE,1.1681551416177596
2016,Stuttgart,900201,1995846,5002,13716,145.78,0.2979,0,35748,28104,23514,1.27198975234842,TRUE,1.195202857871906
2017,Stuttgart,905203,2009562,4860,13504,160.72,0.2979,0,36084,28764,23514,1.2544847726324573,TRUE,1.223271242663945
2018,Stuttgart,910063,2023066,5109,13851,170.54,0.2979,0,37656,30036,23514,1.253695565321614,TRUE,1.277366675172238
2019,Stuttgart,915172,2036917,4678,12523,182.34,0.2979,0,39408,31680,23514,1.243939393939394,FALSE,1.3472824700178616
2020,Stuttgart,919850,2049440,5154,13636,195.24,0.2979,0,NA,NA,NA,NA,NA,NA
2021,Stuttgart,925004,2063076,4914,14487,218.9,0.2979,0,NA,NA,NA,NA,NA,NA
2022,Stuttgart,929918,2077563,4662,12522,211.64,0.2979,0,NA,NA,NA,NA,NA,NA
2023,Stuttgart,934580,2090085,4905,14676,175.72,0.2979,0,NA,NA,NA,NA,NA,NA
2024,Stuttgart,939485,2104761,4105,12502,166.28,0.2979,0,NA,NA,NA,NA,NA,NA
1995,Wiesbaden,33816,129037,129,764,118.55,0.2235,0,NA,NA,NA,NA,NA,NA
1996,Wiesbaden,33945,129801,110,484,107.43,0.2235,0,NA,NA,NA,NA,NA,NA
1997,Wiesbaden,34055,130285,222,1648,103.56,0.2235,0,NA,NA,NA,NA,NA,NA
1998,Wiesbaden,34277,131933,271,1254,102.71,0.2235,0,NA,NA,NA,NA,NA,NA
1999,Wiesbaden,34548,133187,146,1086,104.71,0.2235,0,NA,NA,NA,NA,NA,NA
2000,Wiesbaden,34694,134273,173,916,100,0.2235,0,27500,22000,15339,1.25,NA,1.4342525588369517
2001,Wiesbaden,34867,135189,189,534,94.6,0.2235,0,27500,22000,19900,1.25,NA,1.105527638190955
2002,Wiesbaden,35056,135723,189,523,90.55,0.2235,0,27366.666666666668,21833.333333333332,19966.666666666668,1.253435114503817,NA,1.093489148580968
2003,Wiesbaden,35245,136246,182,649,88.16,0.2235,0,27233.333333333332,21666.666666666668,20033.333333333332,1.2569230769230768,NA,1.0815307820299502
2004,Wiesbaden,35427,136895,228,613,85.26,0.2235,0,27100,21500,20100,1.26046511627907,TRUE,1.0696517412935322
2005,Wiesbaden,35655,137508,145,396,83.91,0.2235,0,28400,22300,21000,1.2735426008968609,TRUE,1.061904761904762
2006,Wiesbaden,35800,137904,191,461,83.69,0.2235,0,28800,22600,21000,1.2743362831858407,TRUE,1.076190476190476
2007,Wiesbaden,35991,138365,227,568,81.15,0.2235,0,29400,23100,21400,1.2727272727272727,TRUE,1.0794392523364489
2008,Wiesbaden,36218,138933,235,453,79.8,0.2235,0,29900,23500,21900,1.2723404255319148,TRUE,1.0730593607305936
2009,Wiesbaden,36453,139386,227,429,80.26,0.2235,0,30700,24100,22200,1.2738589211618256,TRUE,1.0855855855855856
2010,Wiesbaden,36680,139815,275,524,81.18,0.2235,0,31100,24500,22700,1.2693877551020407,FALSE,1.079295154185022
2011,Wiesbaden,36955,140339,198,436,83.14,0.2235,0,32800,25700,23100,1.2762645914396886,TRUE,1.1125541125541123
2012,Wiesbaden,37153,140775,129,334,87.32,0.2235,0,33900,26300,23514,1.2889733840304185,TRUE,1.118482606107
2013,Wiesbaden,37282,141109,214,524,92.13,0.2235,0,27792,27384,23514,1.0148992112182296,FALSE,1.1645828017351365
2014,Wiesbaden,37496,141633,110,549,93.31,0.2235,0,35352,27708,23514,1.275877003031615,TRUE,1.178361826996683
2015,Wiesbaden,37606,142182,183,633,98.69,0.2235,0,35628,27768,23514,1.2830596369922214,TRUE,1.1809134983414136
2016,Wiesbaden,37789,142815,161,469,109.12,0.2235,0,35988,28404,23514,1.267004647232784,FALSE,1.20796121459556
2017,Wiesbaden,37950,143284,82,376,117.41,0.2235,0,37008,28776,23514,1.286071726438699,TRUE,1.223781576932891
2018,Wiesbaden,38032,143660,120,611,120.81,0.2235,0,37524,29268,23514,1.2820828208282082,TRUE,1.2447052819596836
2019,Wiesbaden,38152,144271,119,393,129.65,0.2235,0,40008,31008,23514,1.290247678018576,TRUE,1.3187037509568769
2020,Wiesbaden,38271,144664,232,743,141.84,0.2235,0,NA,NA,NA,NA,NA,NA
2021,Wiesbaden,38503,145407,255,1235,150.99,0.2235,0,NA,NA,NA,NA,NA,NA
2022,Wiesbaden,38758,146642,377,1839,149.07,0.2235,0,NA,NA,NA,NA,NA,NA
2023,Wiesbaden,39135,148481,250,1328,123.64,0.2235,0,NA,NA,NA,NA,NA,NA
2024,Wiesbaden,39385,149809,106,510,121.73,0.2235,0,NA,NA,NA,NA,NA,NA
